Site_name2,Site_name,Latitude,Longitude,Country,Max_date,Min_date,Type,Group,Hominin,Artifact_Class,Present,citation
Bambata Cave,Bambata Cave,-20.50326,28.40594,Zimbabwe,n/a,n/a,Cave,100-199,no,wooden,no,NA
Bambata Cave,Bambata Cave,-20.50326,28.40594,Zimbabwe,n/a,n/a,Cave,100-199,no,art,yes,Jones 1940
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,art,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,bone,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,engraved,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,engravedBone,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,engravedEggshell,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,engravedOchre,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,engravedStone,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,exotic,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,hafting,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,ornamentation,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,wooden,no,NA
Be?ov 1,Becov 1,50.45,13.71666667,Czech Republic,250,200,Cave,200-299,no,ochre,yes,Marshack 1981
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,bone,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,engraved,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,engravedBone,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,engravedEggshell,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,engravedOchre,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,engravedStone,no,NA
